Geography,fips_code,tract,TotalPop,Drove,Percent_Drove,Transit,Percent_Transit,Bike,Percent_Bike,Walk,Percent_Walk,WFH,Percent_WFH
"Census Tract 1243, Los Angeles County, California",6037124300,124300,1849,1400,75.72,315.00,17.04,50.00,2.70,73.00,3.95,6.00,0.32
"Census Tract 1244, Los Angeles County, California",6037124400,124400,2128,1829,85.95,91.00,4.28,10.00,0.47,44.00,2.07,111.00,5.22
"Census Tract 1245, Los Angeles County, California",6037124500,124500,1779,1296,72.85,160.00,8.99,0.00,0.00,8.00,0.45,224.00,12.59
"Census Tract 1246, Los Angeles County, California",6037124600,124600,1829,1574,86.06,41.00,2.24,15.00,0.82,20.00,1.09,179.00,9.79
"Census Tract 1247, Los Angeles County, California",6037124700,124700,3020,2533,83.87,111.00,3.68,10.00,0.33,17.00,0.56,247.00,8.18
"Census Tract 1249.02, Los Angeles County, California",6037124902,124902,1500,1248,83.20,123.00,8.20,0.00,0.00,38.00,2.53,91.00,6.07
"Census Tract 1249.03, Los Angeles County, California",6037124903,124903,1795,1486,82.79,81.00,4.51,0.00,0.00,106.00,5.91,109.00,6.07
"Census Tract 1251, Los Angeles County, California",6037125100,125100,3171,2791,88.02,61.00,1.92,0.00,0.00,0.00,0.00,277.00,8.74
"Census Tract 1252, Los Angeles County, California",6037125200,125200,2251,1712,76.06,152.00,6.75,31.00,1.38,45.00,2.00,296.00,13.15
"Census Tract 1253.10, Los Angeles County, California",6037125310,125310,2484,1832,73.75,258.00,10.39,44.00,1.77,20.00,0.81,306.00,12.32
"Census Tract 1253.20, Los Angeles County, California",6037125320,125320,3101,2640,85.13,198.00,6.39,0.00,0.00,83.00,2.68,151.00,4.87
"Census Tract 1254.01, Los Angeles County, California",6037125401,125401,2827,2169,76.72,306.00,10.82,0.00,0.00,13.00,0.46,167.00,5.91
"Census Tract 1254.02, Los Angeles County, California",6037125402,125402,2942,2375,80.73,213.00,7.24,40.00,1.36,83.00,2.82,207.00,7.04
"Census Tract 1255.01, Los Angeles County, California",6037125501,125501,2246,1730,77.03,240.00,10.69,19.00,0.85,42.00,1.87,182.00,8.10
"Census Tract 1255.02, Los Angeles County, California",6037125502,125502,2080,1735,83.41,114.00,5.48,31.00,1.49,14.00,0.67,132.00,6.35
"Census Tract 1256, Los Angeles County, California",6037125600,125600,1421,1136,79.94,32.00,2.25,7.00,0.49,32.00,2.25,188.00,13.23
"Census Tract 1271.02, Los Angeles County, California",6037127102,127102,2572,1964,76.36,172.00,6.69,48.00,1.87,79.00,3.07,102.00,3.97
"Census Tract 1271.03, Los Angeles County, California",6037127103,127103,1639,1386,84.56,167.00,10.19,33.00,2.01,39.00,2.38,14.00,0.85
"Census Tract 1271.04, Los Angeles County, California",6037127104,127104,1738,1380,79.40,220.00,12.66,0.00,0.00,89.00,5.12,49.00,2.82
"Census Tract 1272.10, Los Angeles County, California",6037127210,127210,2851,2154,75.55,362.00,12.70,53.00,1.86,69.00,2.42,160.00,5.61
"Census Tract 1272.20, Los Angeles County, California",6037127220,127220,2202,1603,72.80,328.00,14.90,45.00,2.04,38.00,1.73,145.00,6.58
"Census Tract 1273, Los Angeles County, California",6037127300,127300,2496,2062,82.61,160.00,6.41,9.00,0.36,113.00,4.53,152.00,6.09
"Census Tract 1274, Los Angeles County, California",6037127400,127400,2949,2512,85.18,84.00,2.85,71.00,2.41,57.00,1.93,106.00,3.59
"Census Tract 1275.20, Los Angeles County, California",6037127520,127520,1861,1438,77.27,257.00,13.81,53.00,2.85,92.00,4.94,7.00,0.38
"Census Tract 1276.03, Los Angeles County, California",6037127603,127603,1330,1038,78.05,166.00,12.48,42.00,3.16,26.00,1.95,48.00,3.61
"Census Tract 1276.04, Los Angeles County, California",6037127604,127604,1432,1230,85.89,26.00,1.82,3.00,0.21,58.00,4.05,115.00,8.03
"Census Tract 1276.05, Los Angeles County, California",6037127605,127605,2078,1669,80.32,234.00,11.26,23.00,1.11,66.00,3.18,55.00,2.65
"Census Tract 1276.06, Los Angeles County, California",6037127606,127606,1727,1448,83.84,237.00,13.72,0.00,0.00,0.00,0.00,34.00,1.97
"Census Tract 1277.11, Los Angeles County, California",6037127711,127711,1992,1710,85.84,167.00,8.38,7.00,0.35,24.00,1.20,59.00,2.96
"Census Tract 1277.12, Los Angeles County, California",6037127712,127712,1477,1141,77.25,203.00,13.74,0.00,0.00,0.00,0.00,111.00,7.52
"Census Tract 1278.03, Los Angeles County, California",6037127803,127803,1829,1464,80.04,231.00,12.63,0.00,0.00,49.00,2.68,49.00,2.68
"Census Tract 1278.04, Los Angeles County, California",6037127804,127804,2109,1661,78.76,200.00,9.48,58.00,2.75,56.00,2.66,86.00,4.08
"Census Tract 1278.05, Los Angeles County, California",6037127805,127805,1810,1363,75.30,224.00,12.38,0.00,0.00,91.00,5.03,132.00,7.29
"Census Tract 1278.06, Los Angeles County, California",6037127806,127806,1717,1359,79.15,154.00,8.97,0.00,0.00,118.00,6.87,75.00,4.37
"Census Tract 1279.10, Los Angeles County, California",6037127910,127910,2423,1986,81.96,366.00,15.11,17.00,0.70,31.00,1.28,23.00,0.95
"Census Tract 1279.20, Los Angeles County, California",6037127920,127920,1994,1729,86.71,120.00,6.02,0.00,0.00,61.00,3.06,67.00,3.36
"Census Tract 1281.01, Los Angeles County, California",6037128101,128101,1895,1551,81.85,148.00,7.81,0.00,0.00,76.00,4.01,94.00,4.96
"Census Tract 1281.02, Los Angeles County, California",6037128102,128102,2271,1586,69.84,467.00,20.56,0.00,0.00,70.00,3.08,90.00,3.96
"Census Tract 1282.10, Los Angeles County, California",6037128210,128210,2134,1617,75.77,269.00,12.61,0.00,0.00,127.00,5.95,31.00,1.45
"Census Tract 1282.20, Los Angeles County, California",6037128220,128220,1678,1263,75.27,225.00,13.41,0.00,0.00,9.00,0.54,133.00,7.93
"Census Tract 1283.02, Los Angeles County, California",6037128302,128302,2418,1802,74.52,357.00,14.76,51.00,2.11,48.00,1.99,147.00,6.08
